cuisine,female,male
Seafood,0.49855611049305276,0.5014438895069473
Indian & South Asian,0.4309567191373697,0.5690432808626303
BBQ & Steakhouse,0.4432525072997334,0.5567474927002666
Mediterranean & Middle Eastern,0.4400568787771063,0.5599431212228937
Sandwiches & Deli,0.3927078253341151,0.6072921746658849
Chinese,0.44198516896194634,0.5580148310380536
Japanese & Sushi,0.466417273412001,0.533582726587999
Asian,0.46430379509487735,0.5356962049051226
Bar & Pub,0.4394047915313598,0.5605952084686402
Café & Bakery,0.4799373944791786,0.5200626055208214
Fast Food & Burgers,0.3995982844189801,0.6004017155810198
Italian & Pizza,0.43237052846114654,0.5676294715388535
Mexican & Latin,0.4432015541016005,0.5567984458983994
American & Comfort,0.4594963828852653,0.5405036171147347
