pred_name,csv_model,alpha,bandwidth_km,precision_at_10,recall_at_10,ndcg_at_10,delta_ndcg,base_ndcg
kgat_all,KGAT,0.1,5.0,0.1281,0.1281,0.0675,0.0023,0.0652
kgat_all,KGAT,0.2,5.0,0.1325,0.1325,0.0698,0.0046,0.0652
kgat_all,KGAT,0.3,5.0,0.1363,0.1363,0.0716,0.0064,0.0652
kgat_all,KGAT,0.4,5.0,0.1382,0.1382,0.0727,0.0075,0.0652
kgat_all,KGAT,0.5,5.0,0.139,0.139,0.0726,0.0074,0.0652
kgat_all,KGAT,0.6,5.0,0.1389,0.1389,0.0721,0.0069,0.0652
kgat_all,KGAT,0.7,5.0,0.1385,0.1385,0.0718,0.0066,0.0652
kgat_all,KGAT,0.1,10.0,0.1283,0.1283,0.0675,0.0023,0.0652
kgat_all,KGAT,0.2,10.0,0.1322,0.1322,0.0695,0.0043,0.0652
kgat_all,KGAT,0.3,10.0,0.136,0.136,0.0714,0.0062,0.0652
kgat_all,KGAT,0.4,10.0,0.1382,0.1382,0.0725,0.0073,0.0652
kgat_all,KGAT,0.5,10.0,0.1389,0.1389,0.0725,0.0073,0.0652
kgat_all,KGAT,0.6,10.0,0.1393,0.1393,0.0725,0.0073,0.0652
kgat_all,KGAT,0.7,10.0,0.1391,0.1391,0.0722,0.007,0.0652
kgat_all,KGAT,0.1,20.0,0.1281,0.1281,0.0674,0.0022,0.0652
kgat_all,KGAT,0.2,20.0,0.132,0.132,0.0693,0.0041,0.0652
kgat_all,KGAT,0.3,20.0,0.1353,0.1353,0.0709,0.0057,0.0652
kgat_all,KGAT,0.4,20.0,0.1374,0.1374,0.0719,0.0067,0.0652
kgat_all,KGAT,0.5,20.0,0.1387,0.1387,0.0722,0.007,0.0652
kgat_all,KGAT,0.6,20.0,0.139,0.139,0.0723,0.0071,0.0652
kgat_all,KGAT,0.7,20.0,0.139,0.139,0.0724,0.0072,0.0652
kgat_all,KGAT,0.1,50.0,0.1276,0.1276,0.0672,0.002,0.0652
kgat_all,KGAT,0.2,50.0,0.1312,0.1312,0.0688,0.0036,0.0652
kgat_all,KGAT,0.3,50.0,0.134,0.134,0.0701,0.0049,0.0652
kgat_all,KGAT,0.4,50.0,0.1361,0.1361,0.071,0.0058,0.0652
kgat_all,KGAT,0.5,50.0,0.1374,0.1374,0.0713,0.0061,0.0652
kgat_all,KGAT,0.6,50.0,0.1381,0.1381,0.0717,0.0065,0.0652
kgat_all,KGAT,0.7,50.0,0.1385,0.1385,0.072,0.0068,0.0652
radar_all,RaDAR,0.1,5.0,0.104,0.104,0.0548,0.0035,0.0513
radar_all,RaDAR,0.2,5.0,0.111,0.111,0.0585,0.0072,0.0513
radar_all,RaDAR,0.3,5.0,0.1181,0.1181,0.0624,0.0111,0.0513
radar_all,RaDAR,0.4,5.0,0.1234,0.1234,0.0655,0.0142,0.0513
radar_all,RaDAR,0.5,5.0,0.1259,0.1259,0.067,0.0157,0.0513
radar_all,RaDAR,0.6,5.0,0.1268,0.1268,0.0673,0.016,0.0513
radar_all,RaDAR,0.7,5.0,0.1272,0.1272,0.0674,0.0161,0.0513
radar_all,RaDAR,0.1,10.0,0.104,0.104,0.0548,0.0035,0.0513
radar_all,RaDAR,0.2,10.0,0.1108,0.1108,0.0584,0.0071,0.0513
